"key","display_name","source","modality","regions","policy_group","proposed_bwLoad","confidence","rationale","your_notes"
"rule:horizontal-pull","row | seal row | inverted row","RULE","resistance","back 0.7; arms 0.3","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"rule:upper-back-prehab","face pull | pull apart | reverse fly","RULE","resistance","back 0.6; shoulders 0.4","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"rule:arm-isolation","curl | tricep | bicep | pushdown | skullcrusher","RULE","resistance","arms 1","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"rule:carry","carry | farmer | suitcase carry","RULE","endurance","core 0.35; arms 0.25; shoulders 0.2; posteriorChain 0.2","implement","0.8","med","ALIGNED to farmer carry (0.80) so a carry prices the same whichever name is typed.",""
"rule:sled","sled","RULE","resistance","quads 0.5; posteriorChain 0.25; calves 0.15; core 0.1","implement","0.8","med","You move an external implement; your body is not lifted.",""
"pallof press","pallof press","EXACT","isometric","core 1","core_cable","0.2","low","Mostly external cable/ball resistance.",""
"rule:anti-rotation","pallof | anti rotation | anti rotational","RULE","isometric","core 1","core_cable","0.2","low","Mostly external cable/ball resistance.",""
"rule:rotation","twist | russian twist | wood chop | chop | rotation","RULE","resistance","core 0.8; shoulders 0.2","core_cable","0.2","low","Mostly external cable/ball resistance.",""
"dead bug","dead bug","EXACT","isometric","core 1","core_dyn","0.3","low","Raises part of the body, not all of it.",""
"hanging knee raise","hanging knee raise","EXACT","resistance","core 1","core_dyn","0.3","low","Raises part of the body, not all of it.",""
"ab routine","ab routine","EXACT","resistance","core 1","core_dyn","0.3","low","Raises part of the body, not all of it.",""
"v up","v up","EXACT","resistance","core 1","core_dyn","0.3","low","Raises part of the body, not all of it.",""
"rule:jump-plyo","jump | hop | bound | throw | slam | clean | snatch | jerk","RULE","plyometric","quads 0.4; posteriorChain 0.35; core 0.25","jump_mixed","0.3","low","MIXED BUCKET: box jump bears BW, clean/snatch/throw are external.",""
"rule:core-dynamic","crunch | sit up | knee raise | leg raise | ab wheel | rollout | ab routine","RULE","resistance","core 1","core_dyn","0.3","low","Raises part of the body, not all of it.",""
"plank","plank","EXACT","isometric","core 1","core_iso","0.4","low","Supports bodyweight in a line; isometric pricing is fuzzy.",""
"rule:core-isometric","plank | hollow hold | dead bug | bird dog","RULE","isometric","core 1","core_iso","0.4","low","Supports bodyweight in a line; isometric pricing is fuzzy.",""
"side plank","side plank","EXACT","isometric","core 1","core_side","0.45","low","Supports lateral bodyweight.",""
"nordic leg curl","nordic leg curl","EXACT","resistance","posteriorChain 1","nordic","0.65","low","Bodyweight hamstring lower; fraction genuinely unclear.",""
"nordic","nordic","EXACT","resistance","posteriorChain 1","nordic","0.65","low","Bodyweight hamstring lower; fraction genuinely unclear.",""
"calf raise","calf raise","EXACT","resistance","calves 1","calf_mixed","0.5","low","AMBIGUOUS: standing bears ~0.85, seated/machine bears 0.",""
"ab wheel roller","ab wheel roller","EXACT","resistance","core 1","core_abwheel","0.5","low","Bodyweight anti-extension; fraction unclear.",""
"ab wheel rollout","ab wheel rollout","EXACT","resistance","core 1","core_abwheel","0.5","low","Bodyweight anti-extension; fraction unclear.",""
"rule:locomotion-endurance","jog | sprint | swim | bike | cycling | walk | hike | ruck","RULE","endurance","posteriorChain 0.35; quads 0.3; calves 0.25; core 0.1","end_mixed","0.5","low","MIXED BUCKET: run/walk/ruck bear BW; bike/swim do not.",""
"rule:calf","calf raise | calf","RULE","resistance","calves 1","calf_mixed","0.5","low","AMBIGUOUS: standing bears ~0.85, seated/machine bears 0.",""
"inverted row","inverted row","EXACT (added)","resistance","back 0.7; arms 0.3","bw_pull_partial","0.6","low","APPLIED — was: falls to horizontal-pull RULE with bent/machine rows (0). An inverted row does bear bodyweight. Approve, adjust, or blank to skip.",""
"zone","zone","EXACT","endurance","quads 0.35; posteriorChain 0.35; calves 0.15; back 0.15","end_bw","0.65","low","Bears bodyweight; low stakes (endurance axis is minutes-based).",""
"run","run","EXACT","endurance","posteriorChain 0.35; quads 0.3; calves 0.25; core 0.1","end_bw","0.65","low","Bears bodyweight; low stakes (endurance axis is minutes-based).",""
"stairmaster","stairmaster","EXACT","endurance","quads 0.4; posteriorChain 0.35; calves 0.25","end_bw","0.8","low","Bears bodyweight; low stakes (endurance axis is minutes-based).",""
"double under","double under","EXACT","endurance","calves 0.55; quads 0.25; core 0.2","end_bw","0.65","low","Bears bodyweight; low stakes (endurance axis is minutes-based).",""
"single under","single under","EXACT","endurance","calves 0.55; quads 0.25; core 0.2","end_bw","0.65","low","Bears bodyweight; low stakes (endurance axis is minutes-based).",""
"burpee","burpee","EXACT","endurance","quads 0.3; chest 0.2; posteriorChain 0.2; shoulders 0.15; core 0.15","end_bw","0.65","low","Bears bodyweight; low stakes (endurance axis is minutes-based).",""
"dumbbell facing burpee","dumbbell facing burpee","EXACT","endurance","quads 0.3; chest 0.2; posteriorChain 0.2; shoulders 0.15; core 0.15","end_bw","0.65","low","Bears bodyweight; low stakes (endurance axis is minutes-based).",""
"push up","push up","EXACT (added)","resistance","chest 0.6; shoulders 0.25; arms 0.15","bw_push","0.65","high","APPLIED — was: 'push up' currently falls to the horizontal-push RULE with bench/machine, so it would price at 0. Needs its own EXACT entry to bear bodyweight. Approve value or set blank to skip.",""
"reverse lunge","reverse lunge","EXACT","resistance","quads 0.5; posteriorChain 0.4; core 0.1","loaded_lower75","0.75","med","Unilateral leg pattern; bodyweight on the working leg, plus load. POLICY GROUP.",""
"bulgarian split squat","bulgarian split squat","EXACT","resistance","quads 0.45; posteriorChain 0.45; core 0.1","loaded_lower75","0.75","med","Unilateral leg pattern; bodyweight on the working leg, plus load. POLICY GROUP.",""
"cossack squat","cossack squat","EXACT","resistance","quads 0.75; posteriorChain 0.15; core 0.1","loaded_lower75","0.75","med","Unilateral leg pattern; bodyweight on the working leg, plus load. POLICY GROUP.",""
"rule:lunge-pattern","lunge | split squat | step up","RULE","resistance","quads 0.5; posteriorChain 0.4; core 0.1","loaded_lower75","0.75","med","Unilateral leg pattern; bodyweight on the working leg, plus load. POLICY GROUP.",""
"back squat","back squat","EXACT","resistance","quads 0.6; posteriorChain 0.28; core 0.12","loaded_lower","0.8","med","Bears bodyweight AND usually a bar. POLICY GROUP ‚Äî see compound policy.",""
"front squat","front squat","EXACT","resistance","quads 0.7; core 0.2; posteriorChain 0.1","loaded_lower","0.8","med","Bears bodyweight AND usually a bar. POLICY GROUP ‚Äî see compound policy.",""
"thruster","thruster","EXACT","resistance","quads 0.35; shoulders 0.35; posteriorChain 0.15; core 0.15","loaded_lower","0.8","med","Bears bodyweight AND usually a bar. POLICY GROUP ‚Äî see compound policy.",""
"rule:squat-pattern","squat | leg press","RULE","resistance","quads 0.6; posteriorChain 0.28; core 0.12","loaded_lower","0.8","med","Bears bodyweight AND usually a bar. POLICY GROUP ‚Äî see compound policy.",""
"pistol","pistol","EXACT","resistance","quads 0.6; posteriorChain 0.3; core 0.1","pistol","0.85","med","Single-leg squat of full bodyweight. POLICY GROUP.",""
"standing calf raise","standing calf raise","EXACT","resistance","calves 1","calf_standing","0.85","med","Raises the whole body onto the toes.",""
"box jump","box jump","EXACT","plyometric","quads 0.5; posteriorChain 0.4; calves 0.1","jump_bw","0.85","med","Jumps whole bodyweight.",""
"dip","dip","EXACT","resistance","chest 0.45; arms 0.35; shoulders 0.2","bw_dip","0.9","med","Presses ~90% of bodyweight on the arms.",""
"weighted dip","weighted dip","EXACT","resistance","chest 0.45; arms 0.35; shoulders 0.2","bw_dip","0.9","med","Presses ~90% of bodyweight on the arms.",""
"handstand push up","handstand push up","EXACT","resistance","shoulders 0.55; arms 0.3; core 0.15","bw_dip","0.9","med","Presses ~90% of bodyweight on the arms.",""
"rule:dip","dip","RULE","resistance","chest 0.45; arms 0.35; shoulders 0.2","bw_dip","0.9","med","Presses ~90% of bodyweight on the arms.",""
"pull up","pull up","EXACT","resistance","back 0.7; arms 0.3","bw_pull","1","high","Lifts entire bodyweight.",""
"weighted pull up","weighted pull up","EXACT","resistance","back 0.7; arms 0.3","bw_pull","1","high","Lifts entire bodyweight.",""
"chin up","chin up","EXACT","resistance","back 0.6; arms 0.4","bw_pull","1","high","Lifts entire bodyweight.",""
"muscle up","muscle up","EXACT","resistance","back 0.45; arms 0.3; chest 0.15; shoulders 0.1","bw_pull","1","high","Lifts entire bodyweight.",""
"rope climb","rope climb","EXACT","resistance","back 0.5; arms 0.4; core 0.1","bw_pull","1","high","Lifts entire bodyweight.",""
"hip mobility flow","hip mobility flow","EXACT","mobility","quads 0.4; posteriorChain 0.4; core 0.2","mobility","","low","Leave default ‚Äî mobility contributes negligible volume.",""
"hip flow","hip flow","EXACT","mobility","quads 0.4; posteriorChain 0.4; core 0.2","mobility","","low","Leave default ‚Äî mobility contributes negligible volume.",""
"couch stretch","couch stretch","EXACT","mobility","quads 1","mobility","","low","Leave default ‚Äî mobility contributes negligible volume.",""
"hip stretch","hip stretch","EXACT","mobility","quads 0.5; posteriorChain 0.5","mobility","","low","Leave default ‚Äî mobility contributes negligible volume.",""
"pigeon","pigeon","EXACT","mobility","posteriorChain 0.6; quads 0.4","mobility","","low","Leave default ‚Äî mobility contributes negligible volume.",""
"kettlebell halo","kettlebell halo","EXACT","mobility","shoulders 0.6; core 0.4","mobility","","low","Leave default ‚Äî mobility contributes negligible volume.",""
"halo","halo","EXACT","mobility","shoulders 0.6; core 0.4","mobility","","low","Leave default ‚Äî mobility contributes negligible volume.",""
"shoulder prep","shoulder prep","EXACT","mobility","shoulders 1","mobility","","low","Leave default ‚Äî mobility contributes negligible volume.",""
"adductor work","adductor work","EXACT","mobility","quads 1","mobility","","low","Leave default ‚Äî mobility contributes negligible volume.",""
"rule:mobility","stretch | mobility | flow | halo | prep | foam roll | pigeon | yoga","RULE","mobility","core 0.34; quads 0.33; posteriorChain 0.33","mobility","","low","Leave default ‚Äî mobility contributes negligible volume.",""
"nordic curl","nordic curl","EXACT (added)","resistance","posteriorChain 1","nordic","0.65","low","APPLIED — the everyday spelling fell to rule:hamstring-isolation (machine leg curls, 0) and priced a nordic at zero.",""
