"key","display_name","source","modality","current_regions","posteriorChain_weight","proposed_hamstrings_share","resulting_hamstrings","resulting_glutes","confidence","rationale","your_hamstrings_share"
"split stance romanian deadlift","split stance romanian deadlift","EXACT","resistance","posteriorChain:0.75 core:0.15 quads:0.1","0.75","0.60","0.45","0.3","med","RDL is the hamstring hinge — long-lever hip flexion. FLAG.",""
"trap bar deadlift","trap bar deadlift","EXACT","resistance","posteriorChain:0.5 quads:0.35 back:0.15","0.5","0.45","0.225","0.275","med","More upright than an RDL, so more glute/quad than a straight-bar pull. FLAG.",""
"kettlebell swing","kettlebell swing","EXACT","plyometric","posteriorChain:0.7 core:0.2 shoulders:0.1","0.7","0.45","0.315","0.385","med","Ballistic hip snap — glute-led with hamstring. FLAG.",""
"kettlebell snatch","kettlebell snatch","EXACT","plyometric","posteriorChain:0.4 shoulders:0.3 core:0.2 back:0.1","0.4","0.45","0.18","0.22","low","Same hip drive as the swing.",""
"farmer carry","farmer carry","EXACT","endurance","core:0.35 arms:0.25 shoulders:0.2 posteriorChain:0.2","0.2","0.40","0.08","0.12","low","Postural — glute stabilisation with some hamstring. Low stakes (endurance).",""
"sled push","sled push","EXACT","resistance","quads:0.5 posteriorChain:0.25 calves:0.15 chest:0.1","0.25","0.50","0.125","0.125","low","Horizontal hip/knee drive — even split.",""
"sled drag","sled drag","EXACT","resistance","quads:0.45 posteriorChain:0.3 calves:0.15 core:0.1","0.3","0.50","0.15","0.15","low","As sled push.",""
"box jump","box jump","EXACT","plyometric","quads:0.5 posteriorChain:0.4 calves:0.1","0.4","0.50","0.2","0.2","low","Triple extension — even glute/hamstring split.",""
"rower interval","rower interval","EXACT","endurance","back:0.4 quads:0.3 posteriorChain:0.2 arms:0.1","0.2","0.45","0.09","0.11","low","Leg drive — glute/quad. Low stakes.",""
"row erg interval","row erg interval","EXACT","endurance","back:0.4 quads:0.3 posteriorChain:0.2 arms:0.1","0.2","0.45","0.09","0.11","low","As rower. Low stakes.",""
"zone","zone","EXACT","endurance","quads:0.35 posteriorChain:0.35 calves:0.15 back:0.15","0.35","0.45","0.158","0.193","low","Mixed zone-2 modes — even-ish. Low stakes.",""
"run","run","EXACT","endurance","posteriorChain:0.35 quads:0.3 calves:0.25 core:0.1","0.35","0.50","0.175","0.175","low","Running loads hamstring and glute fairly evenly. Low stakes.",""
"cycle","cycle","EXACT","endurance","quads:0.5 posteriorChain:0.3 calves:0.2","0.3","0.40","0.12","0.18","low","Quad-dominant already; posterior share glute-lean. Low stakes.",""
"stairmaster","stairmaster","EXACT","endurance","quads:0.4 posteriorChain:0.35 calves:0.25","0.35","0.35","0.122","0.227","low","Climbing — glute-led. Low stakes.",""
"hip mobility flow","hip mobility flow","EXACT","mobility","quads:0.4 posteriorChain:0.4 core:0.2","0.4","0.40","0.16","0.24","low","Mixed hip flow. Low stakes (mobility).",""
"hip flow","hip flow","EXACT","mobility","quads:0.4 posteriorChain:0.4 core:0.2","0.4","0.40","0.16","0.24","low","As hip mobility flow.",""
"hip stretch","hip stretch","EXACT","mobility","quads:0.5 posteriorChain:0.5","0.5","0.50","0.25","0.25","low","Generic — even split. Low stakes.",""
"pigeon","pigeon","EXACT","mobility","posteriorChain:0.6 quads:0.4","0.6","0.30","0.18","0.42","low","Predominantly a glute stretch. Low stakes.",""
"thruster","thruster","EXACT","resistance","quads:0.35 shoulders:0.35 posteriorChain:0.15 core:0.15","0.15","0.40","0.06","0.09","low","Squat drive — glute-lean, low posterior share anyway.",""
"burpee","burpee","EXACT","endurance","quads:0.3 chest:0.2 posteriorChain:0.2 shoulders:0.15 core:0.15","0.2","0.50","0.1","0.1","low","Mixed full-body — even split, tiny posterior share.",""
"dumbbell facing burpee","dumbbell facing burpee","EXACT","endurance","quads:0.3 chest:0.2 posteriorChain:0.2 shoulders:0.15 core:0.15","0.2","0.50","0.1","0.1","low","As burpee.",""
"RULE:erg-endurance","ski erg | row erg | rower | erg | treadmill | stairmaster | elliptical","RULE","endurance","back:0.4 quads:0.3 posteriorChain:0.2 arms:0.1","0.2","0.45","0.09","0.11","low","Seated erg leg drive. Low stakes.",""
"RULE:locomotion-endurance","jog | sprint | swim | bike | cycling | walk | hike | ruck","RULE","endurance","posteriorChain:0.35 quads:0.3 calves:0.25 core:0.1","0.35","0.50","0.175","0.175","low","Jog / walk / ruck — as run.",""
"RULE:jump-plyo","jump | hop | bound | throw | slam | clean | snatch | jerk","RULE","plyometric","quads:0.4 posteriorChain:0.35 core:0.25","0.35","0.50","0.175","0.175","low","Jump / clean / snatch / jerk — triple extension, even split.",""
"RULE:squat-pattern","squat | leg press","RULE","resistance","quads:0.6 posteriorChain:0.28 core:0.12","0.28","0.35","0.098","0.182","med","As back squat — sets every un-named squat.",""
"RULE:lunge-pattern","lunge | split squat | step up","RULE","resistance","quads:0.5 posteriorChain:0.4 core:0.1","0.4","0.40","0.16","0.24","med","Lunge / split squat / step-up — as reverse lunge.",""
"RULE:hinge-pattern","deadlift | romanian deadlift | good morning | hip thrust | glute bridge | swing","RULE","resistance","posteriorChain:0.75 core:0.15 back:0.1","0.75","0.55","0.413","0.337","med","Catches deadlift / RDL / good morning / glute bridge / swing — a blend leaning hamstring. FLAG (hip thrust has its own EXACT).",""
"RULE:hamstring-isolation","leg curl | nordic | ham curl","RULE","resistance","posteriorChain:1","1","1.00","1","0","high","Leg curl / nordic family — hamstrings by definition.",""
"RULE:carry","carry | farmer | suitcase carry","RULE","endurance","core:0.35 arms:0.25 shoulders:0.2 posteriorChain:0.2","0.2","0.40","0.08","0.12","low","As farmer carry.",""
"RULE:sled","sled","RULE","resistance","quads:0.5 posteriorChain:0.25 calves:0.15 core:0.1","0.25","0.50","0.125","0.125","low","As sled push.",""
"RULE:mobility","stretch | mobility | flow | halo | prep | foam roll | pigeon | yoga","RULE","mobility","core:0.34 quads:0.33 posteriorChain:0.33","0.33","0.45","0.149","0.182","low","Generic mobility bucket. Low stakes.",""
